Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,1,Graduate,No,18024,13279,509,360,1,Urban,Y
Female,Yes,1,Not Graduate,No,6382,6511,450,120,1,Urban,N
Female,No,3+,Not Graduate,Yes,15613,11483,600,240,1,Urban,Y
Female,Yes,2,Graduate,No,15145,7504,442,180,1,Urban,Y
Male,No,3+,Graduate,No,7512,1246,256,360,1,Rural,Y
Male,No,0,Graduate,Yes,18847,11911,259,180,1,Urban,Y
Female,Yes,3+,Not Graduate,No,8651,3839,164,120,0,Semiurban,Y
Male,Yes,0,Not Graduate,No,5110,8551,695,120,0,Semiurban,N
Male,No,3+,Not Graduate,No,11384,13208,300,240,1,Rural,Y
Male,No,2,Graduate,Yes,8394,2376,268,360,1,Urban,Y
Male,Yes,0,Graduate,No,14967,3009,456,360,1,Semiurban,N
Male,Yes,1,Not Graduate,No,17989,14798,492,240,1,Rural,Y
Male,Yes,1,Not Graduate,No,23423,11185,652,240,0,Urban,N
Female,Yes,3+,Graduate,No,11373,9154,403,360,1,Semiurban,N
Female,Yes,1,Graduate,Yes,13789,11824,607,180,1,Semiurban,Y
Male,No,0,Graduate,Yes,13708,1827,599,180,1,Rural,Y
Female,No,1,Graduate,No,12328,6979,191,240,1,Urban,Y
Female,No,2,Not Graduate,No,24671,9805,661,180,1,Urban,Y
Female,No,2,Graduate,Yes,3637,9832,550,360,1,Semiurban,Y
Female,Yes,3+,Not Graduate,Yes,22329,10408,596,120,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,21414,12504,591,120,1,Semiurban,Y
Female,Yes,2,Not Graduate,Yes,2786,8569,556,180,1,Urban,N
Female,No,2,Graduate,No,17210,12406,645,240,1,Rural,Y
Male,No,0,Graduate,Yes,12871,4285,330,240,1,Rural,N
Male,Yes,1,Graduate,Yes,17445,6910,473,240,1,Urban,Y
Female,Yes,1,Graduate,Yes,8552,8561,319,240,1,Rural,Y
Female,No,3+,Not Graduate,Yes,5154,14089,203,240,1,Semiurban,Y
Female,No,1,Graduate,No,24986,2196,663,180,1,Rural,Y
Female,Yes,0,Graduate,Yes,20243,3747,132,120,0,Rural,N
Female,Yes,2,Not Graduate,Yes,17100,8843,671,120,1,Rural,N
Female,No,1,Graduate,No,10136,5978,475,180,1,Semiurban,Y
Male,Yes,3+,Not Graduate,Yes,7941,5607,324,240,1,Urban,Y
Female,Yes,1,Not Graduate,Yes,22931,769,333,180,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,23087,10613,222,120,1,Urban,Y
Male,No,3+,Not Graduate,Yes,11167,780,376,360,1,Urban,Y
Male,No,1,Not Graduate,No,13649,9908,112,180,0,Urban,N
Male,No,3+,Not Graduate,No,3298,6303,122,240,1,Rural,Y
Male,No,0,Not Graduate,No,11100,14686,685,120,1,Rural,Y
Female,No,2,Not Graduate,No,23175,3983,424,120,1,Urban,Y
Female,No,0,Graduate,Yes,6995,9503,682,120,1,Urban,Y
Female,No,0,Graduate,No,11400,11551,557,120,0,Rural,Y
Female,Yes,0,Graduate,Yes,15173,13537,447,240,1,Semiurban,N
Female,Yes,0,Graduate,Yes,12630,8714,169,360,1,Urban,Y
Female,Yes,2,Not Graduate,Yes,24168,521,486,120,0,Semiurban,N
Male,Yes,2,Graduate,Yes,16722,13070,514,180,1,Rural,Y
Female,Yes,3+,Not Graduate,Yes,2800,10512,335,360,1,Urban,Y
Male,Yes,1,Graduate,Yes,24753,9127,314,120,1,Semiurban,N
Male,Yes,2,Graduate,Yes,10935,7569,369,360,1,Semiurban,Y
Female,No,2,Graduate,Yes,20981,10422,425,180,1,Semiurban,Y
Male,No,1,Not Graduate,Yes,6116,12232,138,120,1,Rural,Y
Female,Yes,2,Graduate,Yes,17893,5784,252,180,1,Rural,Y
Male,Yes,0,Not Graduate,No,12117,4583,383,240,1,Semiurban,Y
Female,No,0,Not Graduate,No,7252,5946,271,120,1,Semiurban,Y
Male,Yes,1,Graduate,No,11352,4941,90,120,1,Rural,Y
Female,Yes,3+,Graduate,Yes,7795,6267,117,120,1,Semiurban,Y
Female,No,3+,Graduate,No,22699,7128,563,120,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,18956,11889,686,240,1,Rural,N
Female,No,1,Graduate,No,4725,11029,671,120,1,Semiurban,Y
Female,Yes,0,Not Graduate,Yes,2816,12275,647,360,1,Semiurban,Y
Male,No,3+,Not Graduate,Yes,23583,2461,681,120,1,Semiurban,Y
Male,No,2,Graduate,Yes,13837,14291,176,240,0,Rural,N
Male,No,0,Graduate,Yes,8307,14036,304,120,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,24558,11435,65,360,1,Rural,N
Male,No,3+,Not Graduate,No,5183,11551,526,240,1,Rural,Y
Female,Yes,2,Not Graduate,No,8727,685,111,240,1,Urban,Y
Female,Yes,2,Graduate,No,4773,2160,481,360,1,Urban,Y
Male,Yes,0,Not Graduate,Yes,24884,7031,317,360,0,Semiurban,Y
Male,Yes,3+,Graduate,Yes,1645,12180,84,360,1,Rural,Y
Female,No,3+,Not Graduate,Yes,6510,12258,625,360,1,Urban,Y
Male,No,1,Not Graduate,No,17535,14457,543,360,1,Semiurban,Y
Female,Yes,3+,Graduate,Yes,4540,9759,611,240,1,Urban,Y
Female,Yes,3+,Not Graduate,Yes,11154,5341,518,240,1,Urban,Y
Female,No,0,Graduate,No,18366,38,374,120,1,Rural,Y
Female,Yes,3+,Graduate,No,21063,10736,353,120,1,Rural,Y
Female,No,2,Not Graduate,Yes,19133,4875,325,180,1,Urban,Y
Male,Yes,0,Graduate,Yes,18514,1256,250,120,1,Urban,Y
Male,Yes,0,Graduate,Yes,16496,11182,494,120,1,Rural,Y
Female,No,1,Not Graduate,Yes,17836,7697,373,360,0,Semiurban,N
Female,Yes,3+,Graduate,Yes,10353,2196,84,360,1,Rural,Y
Male,No,1,Graduate,Yes,13195,11660,531,120,0,Urban,Y
Male,Yes,2,Graduate,No,4352,7165,529,180,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,17514,10900,114,360,0,Urban,N
Male,Yes,0,Graduate,No,2487,14215,57,120,0,Semiurban,N
Female,No,0,Not Graduate,Yes,9122,301,350,120,1,Urban,Y
Male,Yes,2,Not Graduate,No,10660,7527,392,240,1,Semiurban,N
Female,Yes,2,Graduate,Yes,18984,6381,480,180,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,8152,646,473,240,0,Urban,Y
Female,Yes,1,Graduate,No,8921,12950,381,180,1,Semiurban,Y
Male,No,1,Not Graduate,Yes,22900,14571,487,360,1,Rural,Y
Male,No,3+,Graduate,Yes,2269,9951,637,180,1,Urban,Y
Female,Yes,0,Graduate,No,19227,14538,223,120,0,Rural,N
Male,No,0,Graduate,No,15614,12543,608,120,0,Urban,N
Female,Yes,1,Graduate,No,5858,8789,576,180,0,Semiurban,N
Male,Yes,0,Graduate,Yes,24664,8853,75,180,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,24486,4330,654,180,1,Semiurban,Y
Male,No,3+,Not Graduate,No,13043,9560,455,240,1,Urban,Y
Female,No,3+,Graduate,Yes,20233,10773,281,180,1,Rural,Y
Male,No,2,Graduate,No,7199,7003,582,360,1,Rural,Y
Female,No,3+,Graduate,No,19125,12060,599,240,1,Urban,Y
Male,No,1,Graduate,No,2625,3537,554,240,1,Urban,Y
Female,No,3+,Not Graduate,Yes,12293,13057,228,180,1,Rural,Y
Female,No,2,Graduate,Yes,8264,14876,181,360,0,Rural,Y
Female,No,0,Not Graduate,Yes,22985,12500,504,240,1,Rural,Y
Male,No,1,Not Graduate,Yes,13823,4558,397,120,0,Rural,Y
Female,Yes,0,Graduate,No,14531,6579,589,240,1,Urban,Y
Male,No,2,Not Graduate,Yes,15552,8474,455,180,1,Urban,Y
Female,No,2,Not Graduate,Yes,14140,11870,125,360,1,Semiurban,N
Male,No,2,Not Graduate,No,9343,9678,628,180,1,Rural,Y
Female,No,0,Not Graduate,No,15710,4082,541,120,1,Semiurban,Y
Male,No,0,Graduate,No,17956,13718,243,120,1,Urban,Y
Male,No,0,Graduate,Yes,23356,4183,211,120,1,Urban,Y
Female,No,0,Not Graduate,Yes,11606,13355,396,180,1,Semiurban,Y
Male,No,2,Graduate,Yes,6689,8652,410,240,1,Rural,N
Male,No,2,Graduate,No,3972,10517,633,180,0,Rural,N
Female,No,1,Graduate,No,18591,3754,136,360,1,Rural,Y
Male,No,1,Graduate,Yes,19688,10660,311,240,1,Rural,Y
Male,Yes,0,Graduate,No,8204,1724,263,120,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,5213,1376,622,180,1,Semiurban,Y
Female,No,3+,Graduate,No,6551,10935,311,120,1,Urban,Y
Male,No,2,Graduate,Yes,12256,8706,332,120,1,Rural,Y
Female,Yes,2,Graduate,No,3975,8894,697,360,0,Rural,N
